psa_iter,duration,dose,comp,mean_fm
2,12,0,0.0,0.0
2,12,0,0.25,0.0
2,12,0,0.5,0.0
2,12,0,0.75,0.0
2,12,75,0.0,0.3801544326205068
2,12,75,0.25,0.28533233085987264
2,12,75,0.5,0.18983627063533481
2,12,75,0.75,0.1005558013366661
2,12,150,0.0,0.7691771135306695
2,12,150,0.25,0.5699865642829925
2,12,150,0.5,0.3874414766582861
2,12,150,0.75,0.19253591250536664
2,12,225,0.0,1.1166402403982478
2,12,225,0.25,0.847009630383306
2,12,225,0.5,0.561891526630814
2,12,225,0.75,0.28867764115969125
2,12,300,0.0,1.4645796366832984
2,12,300,0.25,1.0991766070071827
2,12,300,0.5,0.738098795782606
2,12,300,0.75,0.3669822254885176
2,12,375,0.0,1.8062612835901823
2,12,375,0.25,1.3535080264327806
2,12,375,0.5,0.9043150522714919
2,12,375,0.75,0.45970624296468243
2,12,450,0.0,2.1388089864329984
2,12,450,0.25,1.6193548989665418
2,12,450,0.5,1.0665862622709588
2,12,450,0.75,0.5301521819568001
2,16,0,0.0,0.0
2,16,0,0.25,0.0
2,16,0,0.5,0.0
2,16,0,0.75,0.0
2,16,75,0.0,0.5045347908398663
2,16,75,0.25,0.37998414653957113
2,16,75,0.5,0.2538732699969385
2,16,75,0.75,0.12616536161053038
2,16,150,0.0,1.0093528753075633
2,16,150,0.25,0.7620593462668666
2,16,150,0.5,0.5101509188468697
2,16,150,0.75,0.25795975637275
2,16,225,0.0,1.4981176350607524
2,16,225,0.25,1.1306178325033156
2,16,225,0.5,0.7471231074107579
2,16,225,0.75,0.3794186228913926
2,16,300,0.0,1.9642768368061465
2,16,300,0.25,1.4838974744793727
2,16,300,0.5,0.9794507946347256
2,16,300,0.75,0.4951340201778455
2,16,375,0.0,2.414586753997659
2,16,375,0.25,1.7959487549975302
2,16,375,0.5,1.2225124764073896
2,16,375,0.75,0.6146017588224344
2,16,450,0.0,2.821411001063776
2,16,450,0.25,2.1135571762882153
2,16,450,0.5,1.3911638102782453
2,16,450,0.75,0.6985124348737369
2,24,0,0.0,0.0
2,24,0,0.25,0.0
2,24,0,0.5,0.0
2,24,0,0.75,0.0
2,24,75,0.0,0.7561568151606143
2,24,75,0.25,0.5717160628891531
2,24,75,0.5,0.38563992914878475
2,24,75,0.75,0.18612140143373865
2,24,150,0.0,1.5182478785101523
2,24,150,0.25,1.135272050822969
2,24,150,0.5,0.7662256229431488
2,24,150,0.75,0.37433484517839116
2,24,225,0.0,2.269541441162497
2,24,225,0.25,1.6866378910168478
2,24,225,0.5,1.1311707424975255
2,24,225,0.75,0.5662831361218271
2,24,300,0.0,2.929433309432181
2,24,300,0.25,2.2328298385134477
2,24,300,0.5,1.453099031578529
2,24,300,0.75,0.7402492777581734
2,24,375,0.0,3.6054506397127795
2,24,375,0.25,2.730274492621771
2,24,375,0.5,1.789432373195469
2,24,375,0.75,0.9263526114872661
2,24,450,0.0,4.284212798234454
2,24,450,0.25,3.1838375570454707
2,24,450,0.5,2.114165447454766
2,24,450,0.75,1.0236362183147987
3,8,0,0.0,0.0
3,8,0,0.25,0.0
3,8,0,0.5,0.0
3,8,0,0.75,0.0
3,8,75,0.0,0.23646616104208543
3,8,75,0.25,0.17784891896133115
3,8,75,0.5,0.12031025943276774
3,8,75,0.75,0.060576765447282285
3,8,150,0.0,0.47846913115266104
3,8,150,0.25,0.35695070748438
3,8,150,0.5,0.2435872142257582
3,8,150,0.75,0.1186027940407098
3,8,225,0.0,0.6914367035252347
3,8,225,0.25,0.5269149459607864
3,8,225,0.5,0.34525437372268863
3,8,225,0.75,0.16802734952694434
3,8,300,0.0,0.897178449949321
3,8,300,0.25,0.6729873571358628
3,8,300,0.5,0.44387140912121775
3,8,300,0.75,0.22807850617342285
3,8,375,0.0,1.093056462255052
3,8,375,0.25,0.8182984320110527
3,8,375,0.5,0.534979259157881
3,8,375,0.75,0.2813934314433646
3,8,450,0.0,1.267093827241988
3,8,450,0.25,0.9628354307587853
3,8,450,0.5,0.644673311341942
3,8,450,0.75,0.3236885243976181
3,12,0,0.0,0.0
3,12,0,0.25,0.0
3,12,0,0.5,0.0
3,12,0,0.75,0.0
3,12,75,0.0,0.3567704435761915
3,12,75,0.25,0.2657345417185805
3,12,75,0.5,0.17780425855595636
3,12,75,0.75,0.08937972288478585
3,12,150,0.0,0.7100373468246116
3,12,150,0.25,0.5320941995226156
3,12,150,0.5,0.3515233656248021
3,12,150,0.75,0.17275613633710496
