duration,dose,comp,psa_l,psa_median,psa_u
12,375,0.75,0.301520198789544,0.37937615472625275,0.4701424310717186
12,450,0.0,1.39022281310447,1.774810573389526,2.2029559378784644
12,450,0.25,1.0451112267468428,1.330026138253585,1.6486641474218007
12,450,0.5,0.6995022234714495,0.8850288142719926,1.1007954910044622
12,450,0.75,0.3484344673792772,0.44378315517176625,0.5503979321697517
16,0,0.0,0.0,0.0,0.0
16,0,0.25,0.0,0.0,0.0
16,0,0.5,0.0,0.0,0.0
16,0,0.75,0.0,0.0,0.0
16,75,0.0,0.35506255399991243,0.43774482431614314,0.5286234743514479
16,75,0.25,0.26459537670733263,0.32726437406871145,0.3953678516424744
16,75,0.5,0.1763510659954349,0.2182869779638058,0.2651930289243288
16,75,0.75,0.0884410678503944,0.11002291357643759,0.13240707183085784
16,150,0.0,0.7051623033358734,0.8738726217242174,1.0518053635986466
16,150,0.25,0.5285299900848371,0.6555756295163795,0.7982453000983851
16,150,0.5,0.3537375023491355,0.4359798872130779,0.5295650537302138
16,150,0.75,0.177976650103626,0.21874188935955718,0.2654710397446434
16,225,0.0,1.0281212510678839,1.2796578688458453,1.556525700164017
16,225,0.25,0.7694629059476564,0.9582579771367148,1.1641164157150103
16,225,0.5,0.5114963074570185,0.639369571693229,0.7779320889895552
16,225,0.75,0.2575899144974572,0.320143160613451,0.38971226534418574
16,300,0.0,1.3351971459433214,1.6613666794104551,2.022804060333014
16,300,0.25,0.9918995385814208,1.2462969582598524,1.5168372209268135
16,300,0.5,0.6589468114988493,0.8320011892349438,1.0164608438883493
16,300,0.75,0.33384978383224917,0.41435324702507775,0.5172776780333866
16,375,0.0,1.5897951434211723,2.0206617580224804,2.488055791275739
16,375,0.25,1.1835471789716558,1.5200217660679498,1.8703235407402996
16,375,0.5,0.8005207033906176,1.0082826979684048,1.2370104805440525
16,375,0.75,0.4017960374847334,0.5065132430503942,0.6311107768611083
16,450,0.0,1.8585739632262175,2.362663423329421,2.938034325059453
16,450,0.25,1.385359603778797,1.7685768407273594,2.1910299052501445
16,450,0.5,0.9281725143273741,1.183596490940673,1.4778239153064392
16,450,0.75,0.46472862776809587,0.5896288537690806,0.7349801891812761
24,0,0.0,0.0,0.0,0.0
24,0,0.25,0.0,0.0,0.0
24,0,0.5,0.0,0.0,0.0
24,0,0.75,0.0,0.0,0.0
24,75,0.0,0.5303747999293295,0.6551911265093058,0.7922228450953279
24,75,0.25,0.3979687040335023,0.4911107518393345,0.5946530718907397
24,75,0.5,0.266961016505607,0.3276733711604329,0.40051426226294323
24,75,0.75,0.1319042723911783,0.16434834961036296,0.20140289840102044
24,150,0.0,1.0606390476056555,1.3122417728785252,1.585881258774656
24,150,0.25,0.7928869219037382,0.9816058013985756,1.1914437093929693
24,150,0.5,0.5317434992242291,0.6569000500677508,0.7933419510115305
24,150,0.75,0.26431832437700997,0.3291051078827464,0.40211361867588175
24,225,0.0,1.5283379837493598,1.9156881096944947,2.325796122141224
24,225,0.25,1.1582096684847465,1.4401306497395852,1.7427139264696307
