comp,dose,delta_fm
0.0,75,0.3337457956698033
0.0,75,0.1787468909557097
0.0,75,0.5237260030113984
0.0,75,0.2413747189798171
0.0,75,0.3621991359333386
0.0,75,0.343673772477196
0.0,75,0.2923914738163931
0.0,75,0.427101289812742
0.0,75,0.2673843393119691
0.0,75,0.3268266098393919
0.0,75,0.2548260940109206
0.0,75,0.3389552781382788
0.0,75,0.4580948513440263
0.0,75,0.3224453369273356
0.0,75,0.187304660098329
0.0,75,0.3224445322511486
0.0,75,0.3122736460909068
0.0,75,0.5073049479253351
0.0,75,0.3179660859102463
0.0,75,0.2660148459784387
0.0,75,0.3242645542384896
0.0,75,0.3092041192796285
0.0,75,0.5449419202119142
0.0,75,0.2704394523667769
0.0,75,0.1399317992106086
0.0,75,0.2066584511212979
0.0,75,0.1224098084238478
0.0,75,0.2441141797240838
0.0,75,0.4944125089024844
0.0,75,0.2886433433277488
0.0,75,0.3172596312065012
0.0,75,0.2263749802687104
0.0,75,0.10712758910634
0.0,75,0.6205775128818901
0.0,75,0.2392790969222419
0.0,75,0.3133787521419446
0.0,75,0.3157321277358351
0.0,75,0.3563269790703919
0.0,75,0.1666970905254914
0.0,75,0.4128584785785913
0.0,75,0.3882383580856599
0.0,75,0.1985154182523086
0.0,75,0.6893285634517089
0.0,75,0.2614898178718231
0.0,75,0.3997825830513544
0.0,75,0.2282939051025704
0.0,75,0.3760708806431393
0.0,75,0.4614536452181783
0.0,75,0.2186815620957352
0.0,75,0.1979587200802391
0.0,75,0.384559672831735
0.0,75,0.480801297465248
0.0,75,0.117658672590947
0.0,75,0.2078242256157435
0.0,75,0.243355076397995
0.0,75,0.3166988740586253
0.0,75,0.5519774554433572
0.0,75,0.4002168477187466
0.0,75,0.2770399544019208
0.0,75,0.3724045324347941
0.0,75,0.3157071888049254
0.0,75,0.2695656412182026
0.0,75,0.133830075121459
0.0,75,0.3807917918676701
0.0,75,0.3452469233186943
0.0,75,0.3445801508585998
0.0,75,0.4213227836307122
0.0,75,0.2488087394784691
0.0,75,0.3761853616188919
0.0,75,0.2956397493475842
0.0,75,0.4690358475389851
0.0,75,0.1821244947936874
0.0,75,0.3483229092045374
0.0,75,0.497670828675415
0.0,75,0.3666497101585557
0.0,75,0.1833470779533471
0.0,75,0.2600223584350304
0.0,75,0.2631245343736037
0.0,75,0.3118292783266849
0.0,75,0.257153410743238
