duration,dose,comp,mean_fm,sd_fm,mcse_mean,p5,p25,p50,p75,p95,iqr,low_response_prop,mean_exee_week,mean_intake_comp_week,mean_neat_reduction_week,mean_at_reduction_week,mean_net_deficit_week
8,450,0.5,0.5927261673085752,0.3044113514434624,0.0030441135144346,0.1887925739150178,0.3636948360674139,0.5439398508577604,0.7666591868496864,1.1767295361432526,0.4029643507822725,0.4414,2257.282603090889,417.96394290343824,250.77836574206296,167.1855771613753,834.0398081740788
8,450,0.75,0.2980521134530373,0.2498176551781979,0.0024981765517819,0.028740405077558,0.1085230045763793,0.231274867028154,0.4181691022352378,0.7939396394305517,0.3096460976588585,0.8164,2257.282603090889,623.0083267836851,373.8049960702111,249.2033307134741,419.3965801426051
12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,75,0.0,0.3279560330526043,0.1079463976389414,0.0010794639763894,0.1661126041348054,0.2530266417388637,0.3180447511376323,0.3956270453167964,0.517750580578136,0.1426004035779327,0.9344,376.2137671818149,0.0,0.0,0.0,307.65008867276384
12,75,0.25,0.2473830253789538,0.1030459130321583,0.0010304591303215,0.0962151528559278,0.1734253518336043,0.2378934940552609,0.309820869960397,0.4313238524903316,0.1363955181267926,0.9819,376.2137671818149,38.53517879370358,23.12110727622214,15.41407151748143,232.06589305757367
12,75,0.5,0.1647391770376471,0.0824985347032843,0.0008249853470328,0.053650121220051,0.1043023850921183,0.1516878585616908,0.2131738313822787,0.3202452948916204,0.1088714462901603,0.9988,376.2137671818149,77.39937752247592,46.43962651348555,30.95975100899036,154.53907632606615
12,75,0.75,0.0818007152218859,0.0665164893759022,0.000665164893759,0.0080458026021397,0.0314946004377229,0.0643132331320661,0.114453374330277,0.2156553629392873,0.0829587738925541,1.0,376.2137671818149,115.87819979256824,69.52691987554095,46.35127991702731,76.73588760439755
12,150,0.0,0.6580893559845162,0.216811025374586,0.0021681102537458,0.3342785562965523,0.503932472163646,0.6377674571783633,0.7963253010455618,1.0365406527144707,0.2923928288819157,0.243,752.4275343636299,0.0,0.0,0.0,617.3426566931416
12,150,0.25,0.4915531384654364,0.2045831725777453,0.0020458317257774,0.191549441061886,0.3407958276811186,0.4734443925144272,0.6212059496316422,0.8567409409676379,0.2804101219505235,0.5494,752.4275343636299,77.63987893917559,46.58392736350535,31.05595157567023,461.11780664211807
12,150,0.5,0.328949638018888,0.1633392698062383,0.0016333926980623,0.1068508503389319,0.20722125439921,0.305163265551427,0.4255742636711631,0.6304605133882302,0.218353009271953,0.8532,752.4275343636299,153.30284105943022,91.98170463565812,61.321136423772096,308.5821729315519
12,150,0.75,0.1651321415843885,0.1341955233133746,0.0013419552331337,0.015937785753457,0.0621173856926102,0.1320512172105586,0.2323901894030738,0.4297309116648296,0.1702728037104636,0.9736,752.4275343636299,231.44403362857625,138.86642017714573,92.57761345143052,154.90770981795515
12,225,0.0,0.9644064220277574,0.3197988155771335,0.0031979881557713,0.4905004091189351,0.734468756293879,0.9378579610043328,1.1643081222472262,1.5344734461171352,0.4298393659533472,0.0553,1128.6413015454443,0.0,0.0,0.0,904.693591063872
12,225,0.25,0.7215569541014475,0.299847358900177,0.0029984735890017,0.2802416637790632,0.5048280028026623,0.6907951392363718,0.9082401166466454,1.269013568233649,0.4034121138439831,0.2434,1128.6413015454443,111.8866047547637,67.13196285285822,44.75464190190549,676.8805526933328
12,225,0.5,0.4811966961781576,0.2400096533406451,0.0024000965334064,0.1533472998171239,0.3046558403653611,0.4447904281460489,0.6188195272713979,0.9311851944700558,0.3141636869060367,0.589,1128.6413015454443,226.12099526074903,135.67259715644943,90.44839810429964,451.4026007397935
